sku,product_type,name,out_of_stock_qty,use_config_min_qty,max_cart_qty,use_config_max_sale_qty,is_in_stock,notify_on_stock_below,use_config_notify_stock_qty,related_skus,related_position,crosssell_skus,crosssell_position,upsell_skus,upsell_position,associated_skus
3021200,simple,ARAME GALV 12 (2.76mm),0.0000,1,10.000.000,0,1,0.0000,0,,,,,,,
3021400,simple,ARAME GALV 14 (2.10mm),0.0000,1,10.000.000,0,1,0.0000,0,,,,,,,
3021600,simple,ARAME GALV 16 (1.65mm),0.0000,1,10.000.000,0,1,0.0000,0,,,,,,,
3021800,simple,ARAME GALV 18 (1.24mm),0.0000,1,10.000.000,0,1,0.0000,0,,,,,,,
302,grouped,Arame Galvanizado,0.0000,1,10.000.000,0,1,0.0000,0,,,,,,,"3021000=0.000000,3021200=0.000000,3021400=0.000000,3021600=0.000000,3021800=0.000000"
3031625,simple,ARAME FARPADO GIR (1.60mm) 250m,0.0000,1,10.000.000,0,1,0.0000,0,,,,,,,
3031650,simple,ARAME FARPADO GIR (1.60mm) 500m,0.0000,1,10.000.000,0,1,0.0000,0,,,,,,,
303,grouped,Arame Farpado Gir,0.0000,1,10.000.000,0,1,0.0000,0,,,,,,,"3031625=0.000000,3031650=0.000000"
3031825,simple,ARAME FARPADO TOURO (1.60mm) 250m,0.0000,1,10.000.000,0,1,0.0000,0,,,,,,,
3031850,simple,ARAME FARPADO TOURO (1.60mm) 500m,0.0000,1,10.000.000,0,1,0.0000,0,,,,,,,
3031,grouped,Arame Farpado Touro,0.0000,1,10.000.000,0,1,0.0000,0,,,,,,,"3031850=0.000000,3031825=0.000000"
3031950,simple,ARAME FARPADO MOTTO (1.60mm) 500m,0.0000,1,10.000.000,0,1,0.0000,0,,,,,,,
30319,grouped,Arame Farpado Motto,0.0000,1,10.000.000,0,1,0.0000,0,,,,,,,3031950=0.000000
15010875,simple,PREGO C/ CAB 3 x 8 (76.20x4.19mm),0.0000,1,10.000.000,0,1,0.0000,0,,,,,,,
15010975,simple,PREGO C/ CAB 3 x 9 (76.20x3.76mm),0.0000,1,10.000.000,0,1,0.0000,0,,,,,,,
15011063,simple,PREGO C/ CAB 2.1/2 x 10 (63.50x3.40mm),0.0000,1,10.000.000,0,1,0.0000,0,,,,,,,
15015127,simple,PREGO C/ CAB 5 x 5 (127.00x5.59mm),0.0000,1,10.000.000,0,1,0.0000,0,,,,,,,
15011250,simple,PREGO C/ CAB 2 x 12 (50.80x2.77mm),0.0000,1,10.000.000,0,1,0.0000,0,,,,,,,
15011263,simple,PREGO C/ CAB 2.1/2 x 12 (63.50x2.77mm),0.0000,1,10.000.000,0,1,0.0000,0,,,,,,,
15011431,simple,PREGO C/ CAB 1.1/4 x 14 (31.75x2.11mm),0.0000,1,10.000.000,0,1,0.0000,0,,,,,,,
15011438,simple,PREGO C/ CAB 1.1/2 x 14 (38.10x2.11mm),0.0000,1,10.000.000,0,1,0.0000,0,,,,,,,
15011338,simple,PREGO C/ CAB 1.1/2 x 13 (38.10x2.41mm),0.0000,1,10.000.000,0,1,0.0000,0,,,,,,,
1501,grouped,Prego com Cabeça,0.0000,1,10.000.000,0,1,0.0000,0,,,,,,,"15010875=0.000000,15010975=0.000000,15011063=0.000000,15015127=0.000000,15011250=0.000000,15011263=0.000000,15011431=0.000000,15011438=0.000000,15011338=0.000000"
15011399,simple,PREGO TELH 2.1/2 x 10 (63.50x3.40mm),0.0000,1,10.000.000,0,1,0.0000,0,,,,,,,
150113,grouped,Prego Telheiro,0.0000,1,10.000.000,0,1,0.0000,0,,,,,,,15011399=0.000000
15011025,simple,PREGO S/ CAB 1 x 17 (25.40x1.47mm),0.0000,1,10.000.000,0,1,0.0000,0,,,,,,,
15011538,simple,PREGO S/ CAB 1.1/2 x 15 (38.10x1.83mm),0.0000,1,10.000.000,0,1,0.0000,0,,,,,,,
15011,grouped,Prego sem Cabeça,0.0000,1,10.000.000,0,1,0.0000,0,,,,,,,"15011025=0.000000,15011251=0.000000,15011538=0.000000"
